Indonesia,52062.38604,114526.003,399689.7461,530627.5132,935987.8514,1975110.813,4364313.796,4674319.92,5295346.418,5840411.903,8187516.65,10955189.12,13450875.26,18602209.18,20647905.64,23747222.76,-0.978489,113.933877,
Iran,2497.69939,9624.739265,28968.07944,63016.37512,243337.8048,610421.4229,984239.8994,3109384.141,4719208.688,5160109.893,5648292.567,6182990.734,6764941.661,7402423.398,8096282.284,9616571.9,32.726601,54.136765,
Iraq,,,,,,,24552,126165.335,155489.892,239566.707,246235.149,267999.1841,269333.4033,298211.36,325680.9084,791789.775,33.577183,43.667107,
Ireland,40023.36478,80020.65144,150033.2375,300093.7518,410121.1466,678992.5028,894504.8294,1017399.389,1376004.609,1511291.552,1730161.276,2316927.83,2598356.719,2844162.644,2972927.558,3122225.15,53.160961,-8.000469,
Isle of Man,,,,,,,,,,,,,,,,,54.221501,-4.550389,
Israel,49610.88781,118973.4297,247721.064,594214.4355,791705.4789,1255548.658,1065537.824,1108793.972,1244593.134,1473531.857,1663958.671,1883406.45,3330549.497,4212131.224,4583111.009,4985164.8,31.466665,35.075574,
Italy,298747.6813,582644.3048,1295197.449,2591587.754,8177530.571,13170038.83,15570838.31,16122682.31,16803802.01,19366881.14,20534922.1,22445289.79,24268109.62,26669675.6,29419417.75,32503695.21,42.808529,12.560349,
Jamaica,2695.064282,14688.03521,20015.67672,50132.02062,60258.58393,80438.42113,100605.4512,160184.048,206408.982,266489.7,343251.584,442198.776,571607.862,641986.552,663578.082,715414.572,18.116182,-77.280588,
Japan,1984770.771,5458136.831,11462237.15,16811229.5,26852833.05,37704451.75,48509407.43,58731229.16,61117628.08,78803167.5,84583505.61,86862682.19,94001006.1,95414658.56,98710329.9,98951089.44,35.880381,137.405288,
Jordan,1018.111538,2026.7654,27609.94862,61141.92359,120068.784,126628.0229,231053.4666,301178.5249,431494.4971,607463.4462,690873.2149,762013.8524,1133488.6,1345258.96,1566653.92,2351146.26,30.636234,37.120917,
Kazakhstan,1799.996383,5000.440451,10002.60454,20008.02277,70024.01706,99999.6189,149889.0245,249568.8302,299243.4831,398976.9477,449344.4853,500463.5528,622138.9386,1722087.95,2883079.472,5448964.78,47.953662,66.901037,
Kenya,199.517221,2491.887637,9958.755746,14925.82776,34804.84728,99405.43189,198802.5125,397694.1423,994519.1173,1049230.023,1104727.715,2752918.184,2980077.057,3334084.741,3962003.675,10492784.64,0.022119,37.887744,
Kiribati,,,,499.9260145,999.8424949,1499.767921,1999.69613,2178.675,2663.28,3163.93,3679.52,4209.03,5702.58,6757.24,7842.16,8959.14,1.838405,-157.376927,
Korea Rep.,366089.6327,730088.5593,1628562.466,3085402.003,10774894.38,20556467.93,26155173.56,27573995,30539268.24,34045918.17,34577432.61,36916099.47,37429495.68,38664500.31,39138561.17,40329659.81,38.298621,127.50108,
Kosovo,,,,,,,,,,,,,,,,,42.629992,20.898755,
Kuwait,3303.005911,13931.20931,36506.36894,53834.92024,88333.36742,130641.9867,171855.7945,212134.778,476462.5571,501985.679,586970.7231,677008.0331,772692.8588,872989.0275,975165.7428,1046799.99,29.509952,47.482714,
Kyrgyzstan,,,,3512.179378,10028.53267,51599.86462,149785.0318,150043.9692,195764.6172,255454.1655,531154.3974,625649.1846,721031.5839,817044.328,,1066844.6,41.664337,74.741928,
Laos,,,,494.5616849,1972.500556,5904.277823,9826.070812,14725.6176,18639.08737,20482.69135,48923.96614,68340.1669,97274.714,213781.0355,366728.58,434062.58,18.789822,103.880718,
Latvia,,20014.10877,50083.63721,80223.48221,105405.3966,150707.8613,170903.7177,515664.596,629773.905,894758.5482,1060542.88,1229778.804,1350077.748,1508075.472,1549045.3,1601214.66,57.135376,24.593232,
Lebanon,2480.1124,4960.699994,44645.982,99207.16937,198406.0448,297617.8351,257959.2683,270795.28,314833.68,359823.78,410915.388,614618.55,774875.0128,938805.9495,993847.232,1310555.07,33.944403,35.852106,
Lesotho,,52.0585535,104.1618547,208.2795231,1040.759568,4159.612819,5194.230359,21790.08615,31093.98802,44533.11376,53301.47269,62143.63187,72565.19248,76161.3496,79950.2772,83812.8748,-30.352521,28.219032,
Liberia,,,105.973787,104.1586643,307.1177289,504.0473696,993.8414409,980.1175062,967.9908421,959.0894248,,,19172.44992,19389.838,19563.2379,279588.54,6.344812,-9.429833,
Libya,,,,,6860.344546,9784.553085,19541.02349,121968.2623,155954.1867,199704.1696,226044.9655,253492.7237,284408.5252,553465.8,676368.036,889715.68,26.970536,17.221693,
Liechtenstein,,,,,,11996.34848,14996.39065,19997.62117,19998.82381,21996.15955,21987.32573,22471.74577,22951.18984,24864.7,26829,28825.6,47.136756,9.545804,
Lithuania,,9998.385408,34999.41295,70004.63435,103000.6138,224949.1619,249814.4854,612498.9138,893161.747,1071832.338,1237183.926,1491675.905,1686142.457,1855281.008,1996639.567,2064627.153,55.134901,23.922989,
Luxembourg,6483.438295,22949.25789,29953.28672,49943.97371,74881.24025,99672.25346,158941.4966,176444.1888,243478.47,297045.0144,320037.9,337596.4086,375433.4888,400280.0163,434486.8647,456703.2,49.762803,6.108753,
Macao,1115.648921,2944.061707,9717.746797,29234.32656,39085.80062,58771.00826,99153.03501,113140.5532,118273.7332,148015.2425,167826.6451,228875.888,239336.8984,255291.1812,286845.3,308796.608,22.134851,113.559817,
